Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Bolivia,BOL,2015,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,0
Bolivia,BOL,2000,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,0
Bolivia,BOL,1990,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,0
Bolivia,BOL,2015,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0
Bolivia,BOL,2000,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0
Bolivia,BOL,1990,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0
Bolivia,BOL,2015,Urban land area (sq. km),AG.LND.TOTL.UR.K2,1767.519043522
Bolivia,BOL,2000,Urban land area (sq. km),AG.LND.TOTL.UR.K2,1503.991444238
Bolivia,BOL,1990,Urban land area (sq. km),AG.LND.TOTL.UR.K2,1214.23819343
Bolivia,BOL,2023,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.9
Bolivia,BOL,2022,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Bolivia,BOL,2021,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Bolivia,BOL,2020,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.9
Bolivia,BOL,2019,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.5
Bolivia,BOL,2018,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.5
Bolivia,BOL,2017,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.4
Bolivia,BOL,2016,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.5
Bolivia,BOL,2015,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.5
Bolivia,BOL,2014,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.3
Bolivia,BOL,2013,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.5
Bolivia,BOL,2012,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.2
Bolivia,BOL,2011,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.1
Bolivia,BOL,2010,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,98.8
Bolivia,BOL,2009,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,98.9
Bolivia,BOL,2008,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.2
Bolivia,BOL,2007,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,98.2
Bolivia,BOL,2006,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,95.2
Bolivia,BOL,2005,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,89.9
Bolivia,BOL,2004,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,96.1
Bolivia,BOL,2003,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,94
Bolivia,BOL,2002,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,88.6
Bolivia,BOL,2001,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,94.2
Bolivia,BOL,2000,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,95.8
Bolivia,BOL,1999,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,97.837216
Bolivia,BOL,1998,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,96.1
Bolivia,BOL,1997,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,95.815075
Bolivia,BOL,1996,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,96.7
Bolivia,BOL,1995,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,94.3611602783203
Bolivia,BOL,1994,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,93
Bolivia,BOL,1993,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,96.038393
Bolivia,BOL,1992,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,94.571038
Bolivia,BOL,2020,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,22.879459074231
Bolivia,BOL,2019,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,24.4849924422413
Bolivia,BOL,2018,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,25.1667590386614
Bolivia,BOL,2017,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,26.5418633872389
Bolivia,BOL,2016,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,28.0546140290721
Bolivia,BOL,2015,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,27.4574711709407
Bolivia,BOL,2014,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,26.9415449050283
Bolivia,BOL,2013,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,26.0957496962253
Bolivia,BOL,2012,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,28.0697541353735
Bolivia,BOL,2011,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,27.3182933267548
Bolivia,BOL,2010,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,30.5811442072612
Bolivia,BOL,2009,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,35.7228908896935
Bolivia,BOL,2008,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,42.4702971845256
Bolivia,BOL,2007,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,49.4380149483192
Bolivia,BOL,2006,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,55.2406960376362
Bolivia,BOL,2005,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,58.4929923090383
Bolivia,BOL,2004,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,59.7162505298355
Bolivia,BOL,2003,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,60.5276224516758
Bolivia,BOL,2002,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,61.185467407628
Bolivia,BOL,2001,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,61.9481447307606
Bolivia,BOL,2000,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,63.0740137541425
Bolivia,BOL,1999,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,65.3160345354498
Bolivia,BOL,1998,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,68.7315400059974
Bolivia,BOL,1997,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,72.5354488093124
Bolivia,BOL,1996,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,75.9426795889217
Bolivia,BOL,1995,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,78.1681509883521
Bolivia,BOL,1994,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,79.4925462966465
Bolivia,BOL,1993,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,80.6787881274545
Bolivia,BOL,1992,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,81.6651541112124
Bolivia,BOL,1991,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,82.3899218783568
Bolivia,BOL,1990,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,82.7913690593244
Bolivia,BOL,2017,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,99.9991320215104
Bolivia,BOL,2016,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,99.9974859925192
Bolivia,BOL,2015,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,99.9997322955159
Bolivia,BOL,2014,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,100
Bolivia,BOL,2013,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,100
Bolivia,BOL,2012,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,100
Bolivia,BOL,2011,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,100
Bolivia,BOL,2010,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,100
Bolivia,BOL,2005,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,100
Bolivia,BOL,2000,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,100
Bolivia,BOL,1995,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,100
Bolivia,BOL,1990,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,100
Bolivia,BOL,2022,Population density (people per sq. km of land area),EN.POP.DNST,11.1484851841595
Bolivia,BOL,2021,Population density (people per sq. km of land area),EN.POP.DNST,11.0194405981723
Bolivia,BOL,2020,Population density (people per sq. km of land area),EN.POP.DNST,10.9076885442629
Bolivia,BOL,2019,Population density (people per sq. km of land area),EN.POP.DNST,10.7739185821102
Bolivia,BOL,2018,Population density (people per sq. km of land area),EN.POP.DNST,10.6234357980246
Bolivia,BOL,2017,Population density (people per sq. km of land area),EN.POP.DNST,10.4722486845749
Bolivia,BOL,2016,Population density (people per sq. km of land area),EN.POP.DNST,10.3203360103388
Bolivia,BOL,2015,Population density (people per sq. km of land area),EN.POP.DNST,10.1677328533186
Bolivia,BOL,2014,Population density (people per sq. km of land area),EN.POP.DNST,10.0146662974245
Bolivia,BOL,2013,Population density (people per sq. km of land area),EN.POP.DNST,9.86117234376442
Bolivia,BOL,2012,Population density (people per sq. km of land area),EN.POP.DNST,9.7071974522293
Bolivia,BOL,2011,Population density (people per sq. km of land area),EN.POP.DNST,9.55315148158405
Bolivia,BOL,2010,Population density (people per sq. km of land area),EN.POP.DNST,9.39937690390474
Bolivia,BOL,2009,Population density (people per sq. km of land area),EN.POP.DNST,9.24607680236315
Bolivia,BOL,2008,Population density (people per sq. km of land area),EN.POP.DNST,9.09337948859965
Bolivia,BOL,2007,Population density (people per sq. km of land area),EN.POP.DNST,8.94116126650051
Bolivia,BOL,2006,Population density (people per sq. km of land area),EN.POP.DNST,8.78952183144097
Bolivia,BOL,2005,Population density (people per sq. km of land area),EN.POP.DNST,8.64096187575002
Bolivia,BOL,2004,Population density (people per sq. km of land area),EN.POP.DNST,8.49652635465707
Bolivia,BOL,2003,Population density (people per sq. km of land area),EN.POP.DNST,8.35474937690391
Bolivia,BOL,2002,Population density (people per sq. km of land area),EN.POP.DNST,8.21596510661866
Bolivia,BOL,2001,Population density (people per sq. km of land area),EN.POP.DNST,8.07969722145297
Bolivia,BOL,2000,Population density (people per sq. km of land area),EN.POP.DNST,7.94454537062679
Bolivia,BOL,1999,Population density (people per sq. km of land area),EN.POP.DNST,7.80929197821471
Bolivia,BOL,1998,Population density (people per sq. km of land area),EN.POP.DNST,7.67413828117788
Bolivia,BOL,1997,Population density (people per sq. km of land area),EN.POP.DNST,7.53983199483061
Bolivia,BOL,1996,Population density (people per sq. km of land area),EN.POP.DNST,7.40490722791471
Bolivia,BOL,1995,Population density (people per sq. km of land area),EN.POP.DNST,7.26915535862642
Bolivia,BOL,1994,Population density (people per sq. km of land area),EN.POP.DNST,7.1331320963722
Bolivia,BOL,1993,Population density (people per sq. km of land area),EN.POP.DNST,6.99639527370073
Bolivia,BOL,1992,Population density (people per sq. km of land area),EN.POP.DNST,6.8589827379304
Bolivia,BOL,1991,Population density (people per sq. km of land area),EN.POP.DNST,6.7204735530324
Bolivia,BOL,1990,Population density (people per sq. km of land area),EN.POP.DNST,6.58187205760177
Bolivia,BOL,1989,Population density (people per sq. km of land area),EN.POP.DNST,6.44490538170405
Bolivia,BOL,1988,Population density (people per sq. km of land area),EN.POP.DNST,6.30989384288747
Bolivia,BOL,1987,Population density (people per sq. km of land area),EN.POP.DNST,6.17757038678113
Bolivia,BOL,1986,Population density (people per sq. km of land area),EN.POP.DNST,6.04862826548509
Bolivia,BOL,1985,Population density (people per sq. km of land area),EN.POP.DNST,5.92281454813994
Bolivia,BOL,1984,Population density (people per sq. km of land area),EN.POP.DNST,5.79882581002492
Bolivia,BOL,1983,Population density (people per sq. km of land area),EN.POP.DNST,5.67623003784732
Bolivia,BOL,1982,Population density (people per sq. km of land area),EN.POP.DNST,5.55532908704883
Bolivia,BOL,1981,Population density (people per sq. km of land area),EN.POP.DNST,5.43534477983938
Bolivia,BOL,1980,Population density (people per sq. km of land area),EN.POP.DNST,5.31607126373119
Bolivia,BOL,1979,Population density (people per sq. km of land area),EN.POP.DNST,5.19786670359088
Bolivia,BOL,1978,Population density (people per sq. km of land area),EN.POP.DNST,5.08088525800794
Bolivia,BOL,1977,Population density (people per sq. km of land area),EN.POP.DNST,4.96553678574725
Bolivia,BOL,1976,Population density (people per sq. km of land area),EN.POP.DNST,4.85229945536786
Bolivia,BOL,1975,Population density (people per sq. km of land area),EN.POP.DNST,4.74248961506508
Bolivia,BOL,1974,Population density (people per sq. km of land area),EN.POP.DNST,4.63627342379766
Bolivia,BOL,1973,Population density (people per sq. km of land area),EN.POP.DNST,4.53263177328533
Bolivia,BOL,1972,Population density (people per sq. km of land area),EN.POP.DNST,4.43180836333426
Bolivia,BOL,1971,Population density (people per sq. km of land area),EN.POP.DNST,4.33337210375704
Bolivia,BOL,1970,Population density (people per sq. km of land area),EN.POP.DNST,4.23706267885166
Bolivia,BOL,1969,Population density (people per sq. km of land area),EN.POP.DNST,4.14311086494969
Bolivia,BOL,1968,Population density (people per sq. km of land area),EN.POP.DNST,4.05145758331026
Bolivia,BOL,1967,Population density (people per sq. km of land area),EN.POP.DNST,3.96249607680236
Bolivia,BOL,1966,Population density (people per sq. km of land area),EN.POP.DNST,3.87662697313763
Bolivia,BOL,1965,Population density (people per sq. km of land area),EN.POP.DNST,3.79377457767931
Bolivia,BOL,1964,Population density (people per sq. km of land area),EN.POP.DNST,3.71364903535493
Bolivia,BOL,1963,Population density (people per sq. km of land area),EN.POP.DNST,3.63603157020216
Bolivia,BOL,1962,Population density (people per sq. km of land area),EN.POP.DNST,3.56087233453337
Bolivia,BOL,1961,Population density (people per sq. km of land area),EN.POP.DNST,3.48816671282193
Bolivia,BOL,2015,Urban population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.UR.ZS,0
Bolivia,BOL,2000,Urban population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.UR.ZS,0
Bolivia,BOL,1990,Urban population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.UR.ZS,0
Bolivia,BOL,2022,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,46.62568
Bolivia,BOL,2014,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,46.62568
Bolivia,BOL,2012,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,46.62568
Bolivia,BOL,2010,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,46.62568
Bolivia,BOL,2008,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,48.88953
Bolivia,BOL,2006,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,51.15337
Bolivia,BOL,2004,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,53.41721
Bolivia,BOL,2002,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,55.68105
Bolivia,BOL,2000,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,57.94489
Bolivia,BOL,2024,Population in largest city,EN.URB.LCTY,1965570
Bolivia,BOL,2023,Population in largest city,EN.URB.LCTY,1935619
Bolivia,BOL,2022,Population in largest city,EN.URB.LCTY,1907686
Bolivia,BOL,2021,Population in largest city,EN.URB.LCTY,1881796
Bolivia,BOL,2020,Population in largest city,EN.URB.LCTY,1857797
Bolivia,BOL,2019,Population in largest city,EN.URB.LCTY,1835355
Bolivia,BOL,2018,Population in largest city,EN.URB.LCTY,1814087
Bolivia,BOL,2017,Population in largest city,EN.URB.LCTY,1790827
Bolivia,BOL,2016,Population in largest city,EN.URB.LCTY,1767866
Bolivia,BOL,2015,Population in largest city,EN.URB.LCTY,1745199
Bolivia,BOL,2014,Population in largest city,EN.URB.LCTY,1722823
Bolivia,BOL,2013,Population in largest city,EN.URB.LCTY,1700734
Bolivia,BOL,2012,Population in largest city,EN.URB.LCTY,1678928
Bolivia,BOL,2011,Population in largest city,EN.URB.LCTY,1657342
Bolivia,BOL,2010,Population in largest city,EN.URB.LCTY,1636062
Bolivia,BOL,2009,Population in largest city,EN.URB.LCTY,1615056
Bolivia,BOL,2008,Population in largest city,EN.URB.LCTY,1594348
Bolivia,BOL,2007,Population in largest city,EN.URB.LCTY,1573850
Bolivia,BOL,2006,Population in largest city,EN.URB.LCTY,1553643
Bolivia,BOL,2005,Population in largest city,EN.URB.LCTY,1533695
Bolivia,BOL,2004,Population in largest city,EN.URB.LCTY,1514030
Bolivia,BOL,2003,Population in largest city,EN.URB.LCTY,1494564
Bolivia,BOL,2002,Population in largest city,EN.URB.LCTY,1475375
Bolivia,BOL,2001,Population in largest city,EN.URB.LCTY,1452891
Bolivia,BOL,2000,Population in largest city,EN.URB.LCTY,1415108
Bolivia,BOL,1999,Population in largest city,EN.URB.LCTY,1378207
Bolivia,BOL,1998,Population in largest city,EN.URB.LCTY,1342318
Bolivia,BOL,1997,Population in largest city,EN.URB.LCTY,1307363
Bolivia,BOL,1996,Population in largest city,EN.URB.LCTY,1273364
Bolivia,BOL,1995,Population in largest city,EN.URB.LCTY,1240160
Bolivia,BOL,1994,Population in largest city,EN.URB.LCTY,1207865
Bolivia,BOL,1993,Population in largest city,EN.URB.LCTY,1176412
Bolivia,BOL,1992,Population in largest city,EN.URB.LCTY,1145819
Bolivia,BOL,1991,Population in largest city,EN.URB.LCTY,1114568
Bolivia,BOL,1990,Population in largest city,EN.URB.LCTY,1084100
Bolivia,BOL,1989,Population in largest city,EN.URB.LCTY,1054466
Bolivia,BOL,1988,Population in largest city,EN.URB.LCTY,1025680
Bolivia,BOL,1987,Population in largest city,EN.URB.LCTY,997604
Bolivia,BOL,1986,Population in largest city,EN.URB.LCTY,970334
Bolivia,BOL,1985,Population in largest city,EN.URB.LCTY,943809
Bolivia,BOL,1984,Population in largest city,EN.URB.LCTY,918045
Bolivia,BOL,1983,Population in largest city,EN.URB.LCTY,892915
Bolivia,BOL,1982,Population in largest city,EN.URB.LCTY,868507
